Id,Label
3187737,AFGHANI OFFICIAL
3188005,AGENT
3186578,ANATOLY
3191354,ANDRE BAPTISTE
3189884,ANDRE JNR
3188963,ANGEL
3186944,AVA
3186833,BAPTISTE
3189311,BARMAID
3191109,BARMAN
3189063,BORDER GUARD
3192728,BORDER OFFICER
3189687,BOY
3187675,CANNIBAL
3187819,CAPTAIN
3190496,CO-PILOT
3189088,DMITRI
3190010,FAITH
3191244,GIRL #1
3191247,GIRL #2
3190007,GLORIA
3186586,IRINA
3187058,LIBERIAN MAN
3190188,LIEUTENANT
3191305,MAN #1
3191308,MAN #2
3186994,MANAGER
3190758,MBIZI
3188050,NARC LEADER
3191887,NICOLAI
3189263,OFFICER
3190489,PILOT
3191199,PROSTITUTE
3186559,RADIO ANNOUNCER
3192192,REBEL LEADER
3187406,SIMEON
3191750,TEENAGE GIRL
3189421,UKRAINE MAJOR
3187966,VALENTINE
3186582,VITALY
3187158,VIVIAN
3189497,YOUNG SOLDIER
3186379,YURI
